KIMBER,Bimbo,Cemex,Inbursa,Alfa,ICA,Elektra
26.99001,18.1,45.81008,11.11,10.41,3.93,78.6
26.99001,18.44,47.16987,11.11,11.24,3.984,79.6
27.15,18.98,47.20015,11.04,11.45,3.81,76.2
26.64999,18.95,46.62994,10.9,11.06,3.534,70.6
25.79001,19,46.90986,10.84,11.44,3.804,76
25.40001,19,46.88996,10.4,11.18,3.702,74
25.2,19,46.53,10.11,11.04,3.702,74
25.47999,18.82,45.81008,9.76,11.21,3.852,77
25.40001,18.82,45.63011,9.75,11.19,3.774,75.4
25.62,19.74,46.5499,10.25,11.89,3.942,78.8
25.56999,19.5,46.97994,10.04,12.62,4.104,82
25.53,19.76,46.70002,10.12,12.6,4.17,83.4
25.95999,19.9,46.79001,9.9,12.48,4.002,80
25.95999,19.9,46.8999,10.02,12.7,4.032,80.6
25.70001,19.9,47.25986,10,12.65,4.032,80.6
25.98,19.8,47.96982,10.54,13.37,4.224,84.4
25.38,19.81,48.19999,10.56,13.55,4.314,86.2
25.05999,19.58,47.72019,10.99,14.44,4.434,88.6
24.95001,19.49,47.84998,11.49,15,4.56,91.2
24.86001,19.23,47.75004,11.24,14.59,4.332,86.6
24.84999,19.22,47.69986,11.2,14.59,4.2,84
25.01001,19.2,48.48986,11.73,14.85,4.404,88
25.52001,19.2,48.00011,11.86,14.44,4.29,85.8
25.68,19.3,47.10022,11.88,14,4.104,82
25.68,19.3,47.10022,11.905,14,4.104,82
26.19999,19.5,46.38982,11.93,13.64,4.092,81.8
25.97001,19.5,46.24013,12,13.85,4.104,82
25.82001,19.35,45.33981,11.49,13.09,4.002,80
25.40001,19.3,44.31012,11.13,13.33,3.9,78
25.68,19.18,44.88986,11.25,13.46,3.864,77.2
25.65999,19.1,45.12997,11.12,13.76,3.9,78
25.88001,19.19,45.20006,11.19,13.98,3.84,76.8
25.95,19.35,44.75012,11.19,13.88,3.75,75
25.95,19.3,44.85006,11.19,13.82,3.804,76
25.95,19,44.78992,11.04,13.69,3.75,75
26.00001,19.2,44.41006,11.35,13.93,3.75,75
26.00001,19.37,44.59999,10.94,14.25,3.702,74
26.00001,19.45,44.30017,10.94,14.24,3.75,75
26.22999,19.52,44.5498,11.15,14.5,3.882,77.6
26.39001,19.53,44.53985,11.2,14.4,3.87,77.4
27.54,19.75,44.4901,11.28,14.5,3.894,77.8
27.54,19.75,44.4901,11.285,14.5,3.894,77.8
28.70001,20.71,46.27993,11.29,13.32,3.642,72.8
29.66001,20.9,47.49003,11.44,13.3,3.84,76.8
29.81001,20.97,47.73014,11.6,13.58,3.72,74.4
29.97,21.23,48.87015,11.8,14.45,3.804,76
29.60001,22.39,49.2301,11.81,14.41,3.822,76.4
29.93001,22.45,50.88019,11.94,14.91,3.984,79.6
29.87001,22.3,51.45993,11.94,15.01,3.972,79.4
29.88,22.4,51.50016,11.96,15.2,4.104,82
30.06,22.64,50.97018,12.11,15,4.104,82
29.94,22.67,50.89014,11.97,14.46,4.122,82.4
29.99001,23,52.99018,11.8,14.87,4.062,81.2
30.9999,23.51,53.50978,12.06,14.88,4.092,81.8
32.1,24.47,54.98984,12.03,14.7,4.11,82.2
32.6799,24.47,53.44012,11.99,14.33,4.032,80.6
32.6799,24.47,53.44012,12,14.33,4.032,80.6
32.19,25.12,53.48988,12.01,14.53,4.104,82
31.3899,24.99,52.85,12.1,14.34,4.104,82
30.12,24.9,53.28004,11.99,14.32,4.062,81.2
30.2901,23.99,53.23981,12.44,14.25,4.104,82
30.2901,23.99,53.23981,12.422,14.25,4.104,82
30.2901,23.99,53.23981,12.386,14.25,4.104,82
30.66,22.96,53.77023,12.35,14.77,4.17,83.4
30.7899,23.2,53.39989,11.95,14.91,4.14,82.8
30.3801,22.46,52.93999,12,15.3,4.014,80.2
30.1899,22,52.93999,11.8,16.32,4.092,81.8
30.6099,22.04,53.53011,11.84,17.2,4.044,80.8
30.8499,22.18,53.61015,11.52,16.65,4.014,80.2
30.6999,22.25,53.58982,11.83,16.35,4.032,80.6
31.14,23.08,56.34011,11.98,17.16,4.14,82.8
31.26,23.62,56.77015,11.82,16.49,4.032,80.6
31.8099,23.88,58.58984,11.88,16.51,4.11,82.2
31.8201,23.9,58.99998,11.8,16.47,4.074,81.4
31.5,24,59.71989,12,16.7,4.044,80.8
31.7799,24.31,59.22019,12,16.8,4.02,80.4
31.3599,23.99,58.71011,11.99,16.91,3.93,78.6
30.8001,23.58,58.70016,12.1,17.01,3.93,78.6
30,23.7,57.97981,11.77,16.99,3.9,78
29.1,23.16,56.4898,11.79,17,3.93,78.6
29.67999,23.4,56.91985,11.99,16.58,3.882,77.6
29.49999,23.59,56.82986,11.82,17.19,3.93,78.6
29.30001,23.4,58.00015,11.97,18.3,4.05,81
29.57001,23.1,57.93006,11.7,18.63,3.864,77.2
29.97999,22.9,59.10987,11.62,18.9,3.804,76
29.97999,22.9,59.10987,11.645,18.9,3.804,76
30.7401,22.76,59.87002,11.67,18.74,3.852,77
30.9,22.3,60.0898,11.56,18.9,3.822,76.4
31.7001,22.55,61.49977,11.33,19.04,3.864,77.2
31.7499,22.5,60.49994,11.25,19.61,3.84,76.8
31.71,23.06,59.17001,11.31,19.69,3.882,77.6
31.1601,22.25,58.55003,11.02,19.69,3.78,75.6
30.6999,22.47,58.98008,10.95,20.5,3.762,75.2
30.57,22.45,59.34998,10.86,20.8,3.792,75.8
30.57,22.75,59.77008,11.39,20.49,3.744,74.8
30.3501,22.72,59.91977,11.51,20.4,3.804,76
30.6201,22.73,60.0301,11.44,21.2,3.804,76
30.57,22.98,60.14994,11,20.95,3.75,75
30.2901,22.98,60.14994,10.96,20.93,3.75,75
30.45,22.99,59.06012,11.15,20.04,3.504,70
31.1199,23,59.28985,11.15,19.7,3.492,69.8
31.08,23.2,59.90982,11,19.8,3.48,69.6
30.99,23.2,59.19986,10.86,19.25,3.33,66.6
30.9,23.3,59.09992,10.85,19.25,3.3,66
29.19999,23.16,58.90004,10.65,18.69,3.21,64.2
29.03001,23.18,58.0499,10.41,18.08,3.174,63.4
29.03001,22.98,57.67004,10.52,18.38,3.15,63
28.98,22.8,57.92011,10.39,18.33,3.024,60.4
28.98,22.91,57.24995,10.14,17.99,3,60
28.85001,23.12,56.83981,10.15,18.27,3,60
28.5,23.17,56.71997,10.37,17.96,3.102,62
27.47001,22.26,55.58991,9.99,17.76,3.15,63
27.47001,22.14,55.77984,9.86,18.19,3.054,61
27.44001,22.19,55.31994,9.7,18.06,3.054,61
27.39,22.12,55.49992,9.5,17.87,2.97,59.4
27.24,21.95,54.66017,9.37,17.41,2.82,56.4
27.09,21.95,54.0999,9.35,16.9,2.694,53.8
26.60001,21.78,55.03007,9.35,17.2,2.67,53.4
26.52999,21.72,56.26007,9.59,18,2.7,54
26.40999,21.1,56.69011,9.7,18.07,2.754,55
26.19999,20.68,56.21984,9.27,17.67,2.772,55.4
25.80999,20.45,55.73009,9.15,16.83,2.772,55.4
25.62,20.52,54.89985,9,16.55,2.724,54.4
25.23,19.75,53.12992,8.61,16.15,2.652,53
25.53999,19.74,52.90019,8.77,16.39,2.64,52.8
25.25001,19.5,51.64986,8.56,15.61,2.4,48
25.70001,20.92,53.04988,8.75,16.21,2.412,48.2
26.67,22.29,52.70983,9.05,16.94,2.55,51
27.03,22.09,51.44003,8.79,16.6,2.502,50
27.99999,22,50.13995,8.69,16.4,2.484,49.6
27.75,21.7,51.09997,8.62,17.38,2.532,50.6
27.72999,21.36,51.18001,8.5,17.79,2.46,49.2
27.45999,21.4,52.21013,8.72,17.97,2.49,49.8
26.97,20.99,53.21991,8.72,17.72,2.49,49.8
27.09999,20.41,52.5199,8.59,18.07,2.454,49
27.20001,20.15,51.35999,8.5,18.43,2.4,48
26.7,19.95,51.47983,8.3,18.9,2.472,49.4
27,19.9,51.26005,8.4,19.48,2.472,49.4
26.49999,19,49.6502,8.2,19.06,2.52,50.4
26.30001,18.91,48.9199,8.29,18.38,2.424,48.4
26.52,19.24,49.93012,9.25,18.46,2.424,48.4
26.46999,19.49,49.74018,9.31,18.99,2.412,48.2
25.58001,19.38,48.90995,9.09,18.94,2.25,45
24.96,19.8,47.52983,8.73,18.1,2.154,43
24.39,19.05,46.29983,8.5,17.17,2.022,40.4
24,19,47.12012,8.36,18.25,2.25,45
23.91999,18.41,47.20015,8.05,17.98,2.064,41.2
23.91999,18.3,47.02018,8.58,17.95,2.052,41
23.76,18.2,50.04001,8.61,18.49,2.01,40.2
23.75001,18.2,48.31983,8.61,17.9,2.004,40
23.52999,17.89,47.6899,8.61,18.1,1.944,38.8
23.01,16.96,45.49988,8.5,16.75,1.86,37.2
22.86,16.59,44.50005,8.45,15.83,1.8,36
22.55001,16.4,43.99992,8.25,15.59,1.692,33.8
22.94001,16.96,45.65001,8.51,16.3,1.662,33.2
23.00001,16.77,47.06993,8.61,16.21,1.71,34.2
23.10999,16.6,47.07988,9,16.74,1.8,36
23.49,16.38,46.82982,8.85,16.9,1.704,34
23.81001,16.67,46.44996,8.7,16.78,1.674,33.4
23.70999,16.25,46.42011,8.51,16.86,1.602,32
24,16.99,46.44996,8.79,17.46,1.65,33
24.00999,17,46.59013,8.79,17.51,1.674,33.4
24.11001,17,48.28003,8.67,17.78,1.722,34.4
24.20001,17.5,47.82013,8.72,17.34,1.842,36.8
24.45,17.87,47.81018,8.6,17.26,1.704,34
24.3,18.29,47.81018,9.12,17.4,1.68,33.6
24.39999,18.02,47.80023,9.21,17.52,1.674,33.4
24,17.9,46.80992,9,17.14,1.692,33.8
24,18,47.40004,9.2,17.83,1.68,33.6
23.88999,17.4,46.70002,9,17.21,1.662,33.2
